course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
BUS-M255,BUS,M255,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M310,BUS,M310,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M339,BUS,M339,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M344,BUS,M344,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-C106,BUS,C106,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-C205,BUS,C205,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M432,BUS,M432,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M455,BUS,M455,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M470,BUS,M470,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M303,BUS,M303,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M330,BUS,M330,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M346,BUS,M346,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M405,BUS,M405,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M407,BUS,M407,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M355,BUS,M355,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M401,BUS,M401,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M415,BUS,M415,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M419,BUS,M419,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOAD-M315,SOAD,M315,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M429,BUS,M429,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M431,BUS,M431,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-P454,BUS,P454,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-P455,BUS,P455,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-G406,BUS,G406,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-G494,BUS,G494,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-R305,BUS,R305,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-R440,BUS,R440,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-R443,BUS,R443,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F334,BUS,F334,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F355,BUS,F355,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F434,BUS,F434,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-S432,BUS,S432,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-P431,BUS,P431,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-M428,BUS,M428,,,,,,Undergraduate,IUB,,,,,,,,,,,
