course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
SPEA-E375,SPEA,E375,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E440,SPEA,E440,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E442,SPEA,E442,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E443,SPEA,E443,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E461,SPEA,E461,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E417,SPEA,E417,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E422,SPEA,E422,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E444,SPEA,E444,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E450,SPEA,E450,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E452,SPEA,E452,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E457,SPEA,E457,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E401,SPEA,E401,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V203,SPEA,V203,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V412,SPEA,V412,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E418,SPEA,E418,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E429,SPEA,E429,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V401,SPEA,V401,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V435,SPEA,V435,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V461,SPEA,V461,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V369,SPEA,V369,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V475,SPEA,V475,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V481,SPEA,V481,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E260,SPEA,E260,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E355,SPEA,E355,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E411,SPEA,E411,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E416,SPEA,E416,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E455,SPEA,E455,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L473,BIOL,L473,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E431,SPEA,E431,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E456,SPEA,E456,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E460,SPEA,E460,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E400,SPEA,E400,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E482,SPEA,E482,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V246,SPEA,V246,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V361,SPEA,V361,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A201,BUS,A201,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-F300,BUS,F300,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-A200,BUS,A200,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V443,SPEA,V443,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V476,SPEA,V476,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V477,SPEA,V477,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V478,SPEA,V478,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V479,SPEA,V479,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V336,SPEA,V336,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V374,SPEA,V374,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V404,SPEA,V404,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V457,SPEA,V457,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-S201,SPH,S201,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-S210,SPH,S210,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-S214,SPH,S214,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-S251,SPH,S251,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-S332,SPH,S332,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-S345,SPH,S345,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-S415,SPH,S415,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V339,SPEA,V339,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V405,SPEA,V405,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V456,SPEA,V456,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V272,SPEA,V272,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V340,SPEA,V340,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V406,SPEA,V406,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V407,SPEA,V407,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V414,SPEA,V414,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V454,SPEA,V454,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V221,SPEA,V221,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V362,SPEA,V362,,,,,,Undergraduate,IUB,,,,,,,,,,,
AAAD-A481,AAAD,A481,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L201,BUS,L201,,,,,,Undergraduate,IUB,,,,,,,,,,,
BUS-L203,BUS,L203,,,,,,Undergraduate,IUB,,,,,,,,,,,
CJUS-P370,CJUS,P370,,,,,,Undergraduate,IUB,,,,,,,,,,,
CJUS-P371,CJUS,P371,,,,,,Undergraduate,IUB,,,,,,,,,,,
CJUS-P375,CJUS,P375,,,,,,Undergraduate,IUB,,,,,,,,,,,
CJUS-P414,CJUS,P414,,,,,,Undergraduate,IUB,,,,,,,,,,,
CLAS-C308,CLAS,C308,,,,,,Undergraduate,IUB,,,,,,,,,,,
CLAS-C102,CLAS,C102,,,,,,Undergraduate,IUB,,,,,,,,,,,
INTL-I340,INTL,I340,,,,,,Undergraduate,IUB,,,,,,,,,,,
INTL-L351,INTL,L351,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOC-S326,SOC,S326,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPH-R414,SPH,R414,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V346,SPEA,V346,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V356,SPEA,V356,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V427,SPEA,V427,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V441,SPEA,V441,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V442,SPEA,V442,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V389,SPEA,V389,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V458,SPEA,V458,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V434,SPEA,V434,,,,,,Undergraduate,IUB,,,,,,,,,,,
AAAD-A408,AAAD,A408,,,,,,Undergraduate,IUB,,,,,,,,,,,
AAAD-A420,AAAD,A420,,,,,,Undergraduate,IUB,,,,,,,,,,,
CEUS-R321,CEUS,R321,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G306,GEOG,G306,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G352,GEOG,G352,,,,,,Undergraduate,IUB,,,,,,,,,,,
INTL-I304,INTL,I304,,,,,,Undergraduate,IUB,,,,,,,,,,,
PACE-C350,PACE,C350,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y324,POLS,Y324,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y329,POLS,Y329,,,,,,Undergraduate,IUB,,,,,,,,,,,
POLS-Y353,POLS,Y353,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOC-S335,SOC,S335,,,,,,Undergraduate,IUB,,,,,,,,,,,
SOC-S358,SOC,S358,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A459,SPEA,A459,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A464,SPEA,A464,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V411,SPEA,V411,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A354,SPEA,A354,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-A483,SPEA,A483,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V386,SPEA,V386,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V449,SPEA,V449,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V421,SPEA,V421,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V371,SPEA,V371,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V439,SPEA,V439,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-V470,SPEA,V470,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M211,MATH,M211,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-S211,MATH,S211,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M119,MATH,M119,,,,,,Undergraduate,IUB,,,,,,,,,,,
MATH-M120,MATH,M120,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E314,EAS,E314,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G488,GEOG,G488,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S303,STAT,S303,,,,,,Undergraduate,IUB,,,,,,,,,,,
STAT-S350,STAT,S350,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-A321,CSCI,A321,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G250,GEOG,G250,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-C117,CHEM,C117,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-H117,CHEM,H117,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-J117,CHEM,J117,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-C127,CHEM,C127,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-H127,CHEM,H127,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-C341,CHEM,C341,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-R340,CHEM,R340,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-S341,CHEM,S341,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-A314,CHEM,A314,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-C342,CHEM,C342,,,,,,Undergraduate,IUB,,,,,,,,,,,
CHEM-S342,CHEM,S342,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E444,EAS,E444,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E464,SPEA,E464,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHYS-P201,PHYS,P201,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHYS-P221,PHYS,P221,,,,,,Undergraduate,IUB,,,,,,,,,,,
PHYS-H221,PHYS,H221,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-E111,BIOL,E111,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L111,BIOL,L111,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-E112,BIOL,E112,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L112,BIOL,L112,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W231,ENG,W231,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W240,ENG,W240,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENG-W270,ENG,W270,,,,,,Undergraduate,IUB,,,,,,,,,,,
COLL-P155,COLL,P155,,,,,,Undergraduate,IUB,,,,,,,,,,,
ANTH-E444,ANTH,E444,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G313,GEOG,G313,,,,,,Undergraduate,IUB,,,,,,,,,,,
EAS-E105,EAS,E105,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G107,GEOG,G107,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G208,GEOG,G208,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-B300,BIOL,B300,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L211,BIOL,L211,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L307,BIOL,L307,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L311,BIOL,L311,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L318,BIOL,L318,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L319,BIOL,L319,,,,,,Undergraduate,IUB,,,,,,,,,,,
