course_id,subject,catalog_number,title,description,credits_min,credits_max,gened_attributes,career,campus,term,component,class_number,instructor_name,meeting_days,meeting_start,meeting_end,location,prereq_text,coreq_text,notes
INFO-I308,INFO,I308,,,,,,Undergraduate,IUB,,,,,,,,,,,
ABEH-A101,ABEH,A101,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I216,INFO,I216,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I411,INFO,I411,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I414,INFO,I414,,,,,,Undergraduate,IUB,,,,,,,,,,,
ABEH-A400,ABEH,A400,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-L453,BIOL,L453,,,,,,Undergraduate,IUB,,,,,,,,,,,
BIOL-Z460,BIOL,Z460,,,,,,Undergraduate,IUB,,,,,,,,,,,
COGS-Q345,COGS,Q345,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G448,GEOG,G448,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I412,INFO,I412,,,,,,Undergraduate,IUB,,,,,,,,,,,
SPEA-E460,SPEA,E460,,,,,,Undergraduate,IUB,,,,,,,,,,,
COGS-Q351,COGS,Q351,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B355,CSCI,B355,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E434,ENGR,E434,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I413,INFO,I413,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-B453,CSCI,B453,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I304,INFO,I304,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I442,INFO,I442,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I443,INFO,I443,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I444,INFO,I444,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G336,GEOG,G336,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G436,GEOG,G436,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G438,GEOG,G438,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G439,GEOG,G439,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G478,GEOG,G478,,,,,,Undergraduate,IUB,,,,,,,,,,,
GEOG-G488,GEOG,G488,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P442,CSCI,P442,,,,,,Undergraduate,IUB,,,,,,,,,,,
ENGR-E327,ENGR,E327,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I341,INFO,I341,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I440,INFO,I440,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-C323,CSCI,C323,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I342,INFO,I342,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I370,INFO,I370,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I426,INFO,I426,,,,,,Undergraduate,IUB,,,,,,,,,,,
CSCI-P462,CSCI,P462,,,,,,Undergraduate,IUB,,,,,,,,,,,
INFO-I360,INFO,I360,,,,,,Undergraduate,IUB,,,,,,,,,,,
